model,Fs,cut-off,E1,E2,E5,E6,F10,F11
CV_NN,2.5,1,0.7862069010734558,0.625,0.308941125869751,0.7186818718910217,0.39653751254081726,0.37613920122385025
CV_NN,5.0,1,0.7862069010734558,0.8812500238418579,0.2987642288208008,0.7230433821678162,0.691261351108551,0.7315658926963806
CV_NN,5.0,2,0.8103448152542114,0.856249988079071,0.3779985606670379,0.7591471076011658,0.4027205258607864,0.4436619579792022
CV_NN,10.0,1,0.7965517044067383,0.875,0.4126484096050262,0.753089427947998,0.6339653730392456,0.6246893107891083
CV_NN,10.0,2,0.8551723957061768,0.831250011920929,0.4167676270008087,0.7361279129981995,0.6471557915210724,0.734051376581192
CV_NN,10.0,4,0.8413792848587036,0.918749988079071,0.4073176681995392,0.7901623249053955,0.7605111300945282,0.6251035630702972
CV_NN,100.0,1,0.8068965673446655,0.862500011920929,0.4220983684062958,0.8337775468826294,0.8709810376167297,0.7696768641471863
CV_NN,100.0,2,0.8103448152542114,0.84375,0.5110249519348145,0.8570390343666077,0.8413025736808777,0.7605634033679962
CV_NN,100.0,4,0.7758620977401733,0.875,0.4565059244632721,0.8468621373176575,0.8816982805728912,0.802402675151825
IQSplit,2.5,1,0.4862068891525268,0.7124999761581421,0.32784104347229,0.5992246270179749,0.5548227429389954,0.49212923645973206
IQSplit,5.0,1,0.5275862216949463,0.7437499761581421,0.3469832837581634,0.6086745858192444,0.5840890109539032,0.5480530261993408
IQSplit,5.0,2,0.5965517163276672,0.7437499761581421,0.3503755629062652,0.6326629519462585,0.67518550157547,0.5161557644605637
IQSplit,10.0,1,0.6379310488700867,0.84375,0.349648654460907,0.6355706453323364,0.584913432598114,0.6309030652046204
IQSplit,10.0,2,0.6896551847457886,0.7250000238418579,0.3603101670742035,0.6646474599838257,0.5931574702262878,0.5724937617778778
IQSplit,10.0,4,0.6137930750846863,0.8062499761581421,0.3477101922035217,0.6205475926399231,0.6463314294815063,0.6089478135108948
IQSplit,100.0,1,0.8034482598304749,0.8374999761581421,0.4259752929210663,0.7060819268226624,0.7510305047035217,0.6934548318386078
IQSplit,100.0,2,0.751724123954773,0.8187500238418579,0.4034407436847687,0.7337048649787903,0.7976092100143433,0.6524440944194794
IQSplit,100.0,4,0.7965517044067383,0.8374999761581421,0.450932890176773,0.7698085904121399,0.7901896238327026,0.7174813449382782
