model,cut-off,Fs,experiment,target,accuracy,frames
IQSplit,4,100,E7,dvc,0.853741466999054,2936
IQSplit,4,10,E7,dvc,0.6887755393981934,2936
IQSplit,2,100,E7,dvc,0.8180271983146667,2936
IQSplit,2,10,E7,dvc,0.6326530575752258,2936
IQSplit,2,5,E7,dvc,0.6513605713844299,2936
IQSplit,1,100,E7,dvc,0.8418367505073547,2936
IQSplit,1,10,E7,dvc,0.6496598720550537,2936
IQSplit,1,5,E7,dvc,0.6122449040412903,2936
IQSplit,1,2.5,E7,dvc,0.5867347121238708,2936
CV_NN,4,100,E7,dvc,0.9030612111091614,2936
CV_NN,4,10,E7,dvc,0.8265306353569031,2936
CV_NN,2,100,E7,dvc,0.9098639488220215,2936
CV_NN,2,10,E7,dvc,0.7840136289596558,2936
CV_NN,2,5,E7,dvc,0.4234693944454193,2936
CV_NN,1,100,E7,dvc,0.8860543966293335,2936
CV_NN,1,10,E7,dvc,0.8061224222183228,2936
CV_NN,1,5,E7,dvc,0.4353741407394409,2936
CV_NN,1,2.5,E7,dvc,0.4353741407394409,2936
IQSplit,4,100,E8,dvc,0.8594249486923218,3128
IQSplit,4,10,E8,dvc,0.774760365486145,3128
IQSplit,2,100,E8,dvc,0.8290734887123108,3128
IQSplit,2,10,E8,dvc,0.6469648480415344,3128
IQSplit,2,5,E8,dvc,0.7492012977600098,3128
IQSplit,1,100,E8,dvc,0.8642172813415527,3128
IQSplit,1,10,E8,dvc,0.6565495133399963,3128
IQSplit,1,5,E8,dvc,0.7428115010261536,3128
IQSplit,1,2.5,E8,dvc,0.664536714553833,3128
CV_NN,4,100,E8,dvc,0.8865814805030823,3128
CV_NN,4,10,E8,dvc,0.8450479507446289,3128
CV_NN,2,100,E8,dvc,0.8977635502815247,3128
CV_NN,2,10,E8,dvc,0.7140575051307678,3128
CV_NN,2,5,E8,dvc,0.6741213798522949,3128
CV_NN,1,100,E8,dvc,0.8514376878738403,3128
CV_NN,1,10,E8,dvc,0.7587859630584717,3128
CV_NN,1,5,E8,dvc,0.7939296960830688,3128
CV_NN,1,2.5,E8,dvc,0.6501597166061401,3128
IQSplit,4,100,E9,dvc,0.7503876090049744,3221
IQSplit,4,10,E9,dvc,0.6682170629501343,3221
IQSplit,2,100,E9,dvc,0.7565891742706299,3221
IQSplit,2,10,E9,dvc,0.6356589198112488,3221
IQSplit,2,5,E9,dvc,0.6108527183532715,3221
IQSplit,1,100,E9,dvc,0.7612403035163879,3221
IQSplit,1,10,E9,dvc,0.551937997341156,3221
IQSplit,1,5,E9,dvc,0.5720930099487305,3221
IQSplit,1,2.5,E9,dvc,0.5441860556602478,3221
CV_NN,4,100,E9,dvc,0.7457364201545715,3221
CV_NN,4,10,E9,dvc,0.7565891742706299,3221
CV_NN,2,100,E9,dvc,0.8403100967407227,3221
