model,cut-off,Fs,experiment,accuracy,frames
IQSplit,4,100,F10,0.52601158618927,6055
IQSplit,4,10,F10,0.3815028965473175,6055
IQSplit,2,100,F10,0.5194054245948792,6055
IQSplit,2,10,F10,0.5582163333892822,6055
IQSplit,2,5,F10,0.5590420961380005,6055
IQSplit,1,100,F10,0.5524359941482544,6055
IQSplit,1,10,F10,0.50949627161026,6055
IQSplit,1,5,F10,0.5185796618461609,6055
CVNN,4,100,F10,0.8290668725967407,6055
CVNN,4,10,F10,0.4327002465724945,6055
CVNN,2,100,F10,0.8208092451095581,6055
CVNN,2,10,F10,0.6862097382545471,6055
CVNN,2,5,F10,0.4112303853034973,6055
CVNN,1,100,F10,0.8009909391403198,6055
CVNN,1,10,F10,0.3963666260242462,6055
CVNN,1,5,F10,0.4203137755393982,6055
0FREQ,4,100,F10,0.8794384598731995,6055
0FREQ,4,10,F10,0.8868703842163086,6055
0FREQ,2,100,F10,0.8530140519142151,6055
0FREQ,2,10,F10,0.8414533734321594,6055
0FREQ,2,5,F10,0.8711808323860168,6055
0FREQ,1,100,F10,0.8084228038787842,6055
0FREQ,1,10,F10,0.8786126971244812,6055
0FREQ,1,5,F10,0.8571428656578064,6055
IQSplit,4,100,E9,0.3751938045024872,3221
IQSplit,4,10,E9,0.3798449635505676,3221
IQSplit,2,100,E9,0.3519379794597626,3221
IQSplit,2,10,E9,0.36279070377349854,3221
IQSplit,2,5,E9,0.36124029755592346,3221
IQSplit,1,100,E9,0.4449612498283386,3221
IQSplit,4,10,E9,0.3519379794597626,3221
IQSplit,2,100,E9,0.3658914864063263,3221
IQSplit,2,10,E9,0.3519379794597626,3221
IQSplit,2,5,E9,0.3503876030445099,3221
IQSplit,1,100,E9,0.35348838567733765,3221
IQSplit,1,10,E9,0.3643410801887512,3221
IQSplit,1,5,E9,0.367441862821579,3221
CVNN,4,100,E9,0.773643434047699,3221
CVNN,4,10,E9,0.5829457640647888,3221
CVNN,2,100,E9,0.778294563293457,3221
CVNN,2,10,E9,0.36279070377349854,3221
CVNN,2,5,E9,0.8124030828475952,3221
CVNN,1,100,E9,0.8015503883361816,3221
CVNN,1,10,E9,0.8093023300170898,3221
CVNN,1,5,E9,0.40155038237571716,3221
0FREQ,4,100,E9,0.8806201815605164,3221
0FREQ,4,10,E9,0.8666666746139526,3221
0FREQ,2,100,E9,0.8155038952827454,3221
0FREQ,2,10,E9,0.8449612259864807,3221
0FREQ,2,5,E9,0.8744186162948608,3221
0FREQ,1,100,E9,0.843410849571228,3221
0FREQ,1,10,E9,0.8558139801025391,3221
0FREQ,1,5,E9,0.8651162981987,3221
0FREQ,4,100,E8,0.884984016418457,3128
0FREQ,4,10,E8,0.8658146858215332,3128
0FREQ,2,100,E8,0.8753993511199951,3128
0FREQ,2,10,E8,0.884984016418457,3128
0FREQ,2,5,E8,0.8626198172569275,3128
0FREQ,1,100,E8,0.9105431437492371,3128
0FREQ,1,10,E8,0.8817891478538513,3128
0FREQ,1,5,E8,0.8833865523338318,3128
IQSplit,4,100,E8,0.43130990862846375,3128
IQSplit,4,10,E8,0.6038338541984558,3128
IQSplit,2,100,E8,0.6389776468276978,3128
IQSplit,2,10,E8,0.5287539958953857,3128
IQSplit,2,5,E8,0.5527156591415405,3128
IQSplit,1,100,E8,0.664536714553833,3128
IQSplit,1,10,E8,0.5495207905769348,3128
IQSplit,1,5,E8,0.52555912733078,3128
CVNN,4,100,E8,0.8753993511199951,3128
CVNN,4,10,E8,0.7492012977600098,3128
CVNN,2,100,E8,0.664536714553833,3128
CVNN,2,10,E8,0.8466453552246094,3128
CVNN,2,5,E8,0.6613418459892273,3128
CVNN,1,100,E8,0.835463285446167,3128
CVNN,1,10,E8,0.8514376878738403,3128
CVNN,1,5,E8,0.6325878500938416,3128
0FREQ,4,100,E8,0.884984016418457,3128
0FREQ,4,10,E8,0.8658146858215332,3128
0FREQ,2,100,E8,0.8753993511199951,3128
0FREQ,2,10,E8,0.884984016418457,3128
0FREQ,2,5,E8,0.8626198172569275,3128
0FREQ,1,100,E8,0.9105431437492371,3128
0FREQ,1,10,E8,0.8817891478538513,3128
0FREQ,1,5,E8,0.8833865523338318,3128
IQSplit,4,100,E6,0.13281628489494324,20626
IQSplit,4,10,E6,0.14541929960250854,20626
IQSplit,2,100,E6,0.6267571449279785,20626
IQSplit,2,10,E6,0.1303926259279251,20626
IQSplit,2,5,E6,0.08385846018791199,20626
IQSplit,1,100,E6,0.1391177922487259,20626
IQSplit,1,10,E6,0.12699951231479645,20626
IQSplit,1,5,E6,0.08385846018791199,20626
CVNN,4,100,E6,0.706737756729126,20626
CVNN,4,10,E6,0.7743577361106873,20626
CVNN,2,100,E6,0.7028599381446838,20626
CVNN,2,10,E6,0.7469704151153564,20626
CVNN,2,5,E6,0.7716917395591736,20626
CVNN,1,100,E6,0.7978671789169312,20626
CVNN,1,10,E6,0.7867183685302734,20626
CVNN,1,5,E6,0.7872030735015869,20626
0FREQ,4,100,E6,0.8984488844871521,20626
0FREQ,4,10,E6,0.8402811288833618,20626
0FREQ,2,100,E6,0.8647600412368774,20626
0FREQ,2,10,E6,0.8410082459449768,20626
0FREQ,2,5,E6,0.8492486476898193,20626
0FREQ,1,100,E6,0.8477944731712341,20626
0FREQ,1,10,E6,0.8654871582984924,20626
0FREQ,1,5,E6,0.8296170830726624,20626
IQSplit,4,100,E5,0.2297624796628952,20626
IQSplit,4,10,E5,0.2438196837902069,20626
IQSplit,2,100,E5,0.25012117624282837,20626
IQSplit,2,10,E5,0.23582161962985992,20626
IQSplit,2,5,E5,0.24357731640338898,20626
IQSplit,1,100,E5,0.24285021424293518,20626
IQSplit,1,10,E5,0.269510418176651,20626
IQSplit,1,5,E5,0.2392147332429886,20626
CVNN,4,100,E5,0.3371303975582123,20626
CVNN,4,10,E5,0.3499757647514343,20626
CVNN,2,100,E5,0.3763936161994934,20626
CVNN,2,10,E5,0.3504604995250702,20626
CVNN,2,5,E5,0.4020843505859375,20626
CVNN,1,100,E5,0.37881726026535034,20626
CVNN,1,10,E5,0.36791080236434937,20626
CVNN,1,5,E5,0.33616092801094055,20626
0FREQ,4,100,E5,0.3247697651386261,20626
0FREQ,4,10,E5,0.47237032651901245,20626
0FREQ,2,100,E5,0.3201647996902466,20626
0FREQ,2,10,E5,0.43868154287338257,20626
0FREQ,2,5,E5,0.44886088371276855,20626
0FREQ,1,100,E5,0.3208919167518616,20626
0FREQ,1,10,E5,0.38560348749160767,20626
0FREQ,1,5,E5,0.44522538781166077,20626
IQSplit,4,100,E1,0.682758629322052,1448
IQSplit,4,10,E1,0.7448275685310364,1448
IQSplit,2,100,E1,0.6896551847457886,1448
IQSplit,2,10,E1,0.6965517401695251,1448
IQSplit,2,5,E1,0.30000001192092896,1448
IQSplit,1,100,E1,0.7103448510169983,1448
IQSplit,1,10,E1,0.699999988079071,1448
IQSplit,1,5,E1,0.33448275923728943,1448
CVNN,4,100,E1,0.8517241477966309,1448
CVNN,4,10,E1,0.8103448152542114,1448
CVNN,2,100,E1,0.8551723957061768,1448
CVNN,2,10,E1,0.8517241477966309,1448
CVNN,2,5,E1,0.817241370677948,1448
CVNN,1,100,E1,0.8310344815254211,1448
CVNN,1,10,E1,0.32413792610168457,1448
CVNN,1,5,E1,0.865517258644104,1448
0FREQ,4,100,E1,0.9172413945198059,1448
0FREQ,4,10,E1,0.9068965315818787,1448
0FREQ,2,100,E1,0.951724112033844,1448
0FREQ,2,10,E1,0.9206896424293518,1448
0FREQ,2,5,E1,0.8965517282485962,1448
0FREQ,1,100,E1,0.8517241477966309,1448
0FREQ,1,10,E1,0.7862069010734558,1448
0FREQ,1,5,E1,0.882758617401123,1448
IQSplit,4,100,E2,0.84375,797
IQSplit,4,10,E2,0.8687499761581421,797
IQSplit,2,100,E2,0.7437499761581421,797
IQSplit,2,10,E2,0.625,797
IQSplit,2,5,E2,0.824999988079071,797
IQSplit,1,100,E2,0.6625000238418579,797
IQSplit,1,10,E2,0.637499988079071,797
IQSplit,1,5,E2,0.6312500238418579,797
CVNN,4,100,E2,0.7875000238418579,797
CVNN,4,10,E2,0.887499988079071,797
CVNN,2,100,E2,0.8374999761581421,797
CVNN,2,10,E2,0.8812500238418579,797
CVNN,2,5,E2,0.925000011920929,797
CVNN,1,100,E2,0.893750011920929,797
CVNN,1,10,E2,0.893750011920929,797
CVNN,1,5,E2,0.875,797
0FREQ,4,100,E2,0.6625000238418579,797
0FREQ,4,10,E2,0.706250011920929,797
0FREQ,2,100,E2,0.6625000238418579,797
0FREQ,2,10,E2,0.699999988079071,797
0FREQ,2,5,E2,0.6499999761581421,797
0FREQ,1,100,E2,0.706250011920929,797
0FREQ,1,10,E2,0.6937500238418579,797
0FREQ,1,5,E2,0.637499988079071,797
IQSplit,4,100,E3,0.328763872385025,21154
IQSplit,4,10,E3,0.3386906087398529,21154
IQSplit,2,100,E3,0.3372725248336792,21154
IQSplit,2,10,E3,0.3330182135105133,21154
IQSplit,2,5,E3,0.3367998003959656,21154
IQSplit,1,100,E3,0.34058141708374023,21154
IQSplit,1,10,E3,0.33538171648979187,21154
IQSplit,1,5,E3,0.34105411171913147,21154
CVNN,4,100,E3,0.4027416706085205,21154
CVNN,4,10,E3,0.3895060122013092,21154
CVNN,2,100,E3,0.4067596197128296,21154
CVNN,2,10,E3,0.3819428086280823,21154
CVNN,2,5,E3,0.3415268361568451,21154
CVNN,1,100,E3,0.4027416706085205,21154
CVNN,1,10,E3,0.39919641613960266,21154
CVNN,1,5,E3,0.3434176445007324,21154
0FREQ,4,100,E3,0.4025053083896637,21154
0FREQ,4,10,E3,0.4159772992134094,21154
0FREQ,2,100,E3,0.33065468072891235,21154
0FREQ,2,10,E3,0.4431576430797577,21154
0FREQ,2,5,E3,0.4058142304420471,21154
0FREQ,1,100,E3,0.3892696797847748,21154
0FREQ,1,10,E3,0.43252184987068176,21154
0FREQ,1,5,E3,0.33183643221855164,21154
IQSplit,4,100,E4,0.16544552147388458,21154
IQSplit,4,10,E4,0.16473646461963654,21154
IQSplit,2,100,E4,0.15670053660869598,21154
IQSplit,2,10,E4,0.15480974316596985,21154
IQSplit,2,5,E4,0.16024580597877502,21154
IQSplit,1,100,E4,0.16969983279705048,21154
IQSplit,1,10,E4,0.15599149465560913,21154
IQSplit,1,5,E4,0.16213661432266235,21154
CVNN,4,100,E4,0.8009926676750183,21154
CVNN,4,10,E4,0.7605767250061035,21154
CVNN,2,100,E4,0.6953439116477966,21154
CVNN,2,10,E4,0.7709761261940002,21154
CVNN,2,5,E4,0.720869779586792,21154
CVNN,1,100,E4,0.6457102298736572,21154
CVNN,1,10,E4,0.6646183133125305,21154
CVNN,1,5,E4,0.7702670693397522,21154
0FREQ,4,100,E4,0.8794611096382141,21154
0FREQ,4,10,E4,0.8532261848449707,21154
0FREQ,2,100,E4,0.7960293292999268,21154
0FREQ,2,10,E4,0.8385724425315857,21154
0FREQ,2,5,E4,0.8203734159469604,21154
0FREQ,1,100,E4,0.8470810651779175,21154
0FREQ,1,10,E4,0.8508626818656921,21154
0FREQ,1,5,E4,0.816828191280365,21154
IQSplit,4,100,F11,0.39419087767601013,6023
IQSplit,4,10,F11,0.19751037657260895,6023
IQSplit,2,100,F11,0.20829875767230988,6023
IQSplit,2,10,F11,0.19668050110340118,6023
IQSplit,2,5,F11,0.20000000298023224,6023
IQSplit,1,100,F11,0.21825726330280304,6023
IQSplit,1,10,F11,0.19917012751102448,6023
IQSplit,1,5,F11,0.20248962938785553,6023
CVNN,4,100,F11,0.6622406840324402,6023
CVNN,4,10,F11,0.6929460763931274,6023
CVNN,2,100,F11,0.666390061378479,6023
CVNN,2,10,F11,0.19917012751102448,6023
CVNN,2,5,F11,0.19917012751102448,6023
CVNN,1,100,F11,0.6697095632553101,6023
CVNN,1,10,F11,0.19751037657260895,6023
CVNN,1,5,F11,0.3535269796848297,6023
0FREQ,4,100,F11,0.7062240839004517,6023
0FREQ,4,10,F11,0.7593361139297485,6023
0FREQ,2,100,F11,0.7917012572288513,6023
0FREQ,2,10,F11,0.7560166120529175,6023
0FREQ,2,5,F11,0.7535269856452942,6023
0FREQ,1,100,F11,0.8066390156745911,6023
0FREQ,1,10,F11,0.7643153667449951,6023
0FREQ,1,5,F11,0.7336099743843079,6023
IQSplit,4,100,E7,0.6955782175064087,2936
IQSplit,4,10,E7,0.44897958636283875,2936
IQSplit,2,100,E7,0.5952380895614624,2936
IQSplit,2,10,E7,0.48469388484954834,2936
IQSplit,2,5,E7,0.45408162474632263,2936
IQSplit,1,100,E7,0.680272102355957,2936
IQSplit,1,10,E7,0.4693877696990967,2936
IQSplit,1,5,E7,0.47789114713668823,2936
